# American Standard Threads

Unified,0

# Unified Screw Threads - Standard Series, Class 3A/3B
# Data from Machinery's Handbook (25th Edition, 1996) Table #4 - pp 1654-1676
# ----------------------------------------------------------------------------
#   Name         Major	    Minor    Pitch   Tap Drill    Shaft    Depth
#                 Dia.	     Dia.               Dia.       Dia.
#              (internal  (external 	     (75% full
#               threads)   threads)  	      thread)
#                 (in)      (in)      (in)      (in)      (in)      (in)
# ----------------------------------------------------------------------------

1.3125-16_UNJ	 1.3125	   1.2403    0.0625    1.2669	 1.3031	   2.8750
1.3125-18_UNJEF	 1.3125	   1.2483    0.0556    1.2719	 1.3038	   2.8750
1.3750-6_UNJC	 1.3750	   1.1825    0.1667    1.2533	 1.3568	   3.0000
1.3750-8_UNJ	 1.3750	   1.2306    0.1250    1.2837	 1.3600	   3.0000
1.3750-12_UNJF	 1.3750	   1.2788    0.0833    1.3142	 1.3636	   3.0000
1.3750-16_UNJ	 1.3750	   1.3028    0.0625    1.3294	 1.3656	   3.0000
1.3750-18_UNJEF	 1.3750	   1.3108    0.0556    1.3344	 1.3663    3.0000
1.4375-8_UNJ	 1.4375	   1.2932    0.1250    1.3462	 1.4225	   3.1250
1.4375-12_UNJ	 1.4375	   1.3413    0.0833    1.3767	 1.4261	   3.1250
1.4375-16_UNJ	 1.4375	   1.3653    0.0625    1.3919	 1.4281	   3.1250
1.4375-18_UNJEF	 1.4375	   1.3733    0.0556    1.3969	 1.4288	   3.1250
1.5000-6_UNJC	 1.5000	   1.3075    0.1667    1.3783	 1.4818	   3.2500
1.5000-8_UNJ	 1.5000	   1.3556    0.1250    1.4087	 1.4850	   3.2500
1.5000-12_UNJF	 1.5000	   1.4038    0.0833    1.4392	 1.4886	   3.2500
1.5000-16_UNJ	 1.5000	   1.4278    0.0625    1.4544	 1.4906	   3.2500
1.5000-18_UNJEF	 1.5000	   1.4358    0.0556    1.4594	 1.4913	   3.2500
1.5625-8_UNJ	 1.5625	   1.4182    0.1250    1.4712	 1.5475	   3.3750
1.5625-12_UNJ	 1.5625	   1.4663    0.0833    1.5017	 1.5511	   3.3750
1.5625-16_UNJ	 1.5625	   1.4903    0.0625    1.5169	 1.5531	   3.3750
1.5625-18_UNJEF	 1.5625	   1.4983    0.0556    1.5219	 1.5538	   3.3750
1.6250-8_UNJ	 1.6250	   1.4806    0.1250    1.5337	 1.6100	   3.5000
1.6250-12_UNJ	 1.6250	   1.5288    0.0833    1.5642	 1.6136	   3.5000
1.6250-16_UNJ	 1.6250	   1.5528    0.0625    1.5794	 1.6156	   3.5000
1.6250-18_UNJEF	 1.6250	   1.5608    0.0556    1.5844	 1.6163	   3.5000
1.6875-8_UNJ	 1.6875	   1.5432    0.1250    1.5962	 1.6725	   3.6250
1.6875-12_UNJ	 1.6875	   1.5913    0.0833    1.6267	 1.6761	   3.6250
1.6875-16_UNJ	 1.6875	   1.6153    0.0625    1.6419	 1.6781	   3.6250
1.6875-18_UNJEF	 1.6875	   1.6233    0.0556    1.6469	 1.6788	   3.6250
1.7500-5_UNJC	 1.7500	   1.5191    0.2000    1.6039	 1.7295	   3.7500
1.7500-8_UNJ	 1.7500	   1.6056    0.1250    1.6587	 1.7350	   3.7500
1.7500-12_UNJ	 1.7500	   1.6538    0.0833    1.6892	 1.7386	   3.7500
1.7500-16_UNJ	 1.7500	   1.6778    0.0625    1.7044	 1.7406	   3.7500
1.8125-8_UNJ	 1.8125	   1.6682    0.1250    1.7212	 1.7975	   3.8750
1.8125-12_UNJ	 1.8125	   1.7163    0.0833    1.7517	 1.8011	   3.8750
1.8125-16_UNJ	 1.8125	   1.7403    0.0625    1.7669	 1.8031	   3.8750
1.8750-8_UNJ	 1.8750	   1.7306    0.1250    1.7837	 1.8600	   4.0000
1.8750-12_UNJ	 1.8750	   1.7788    0.0833    1.8142	 1.8636	   4.0000
1.8750-16_UNJ	 1.8750	   1.8028    0.0625    1.8294	 1.8656	   4.0000
1.9375-8_UNJ	 1.9375	   1.7932    0.1250    1.8462	 1.9225	   4.1250
1.9375-12_UNJ	 1.9375	   1.8413    0.0833    1.8767	 1.9261	   4.1250
1.9375-16_UNJ	 1.9375	   1.8653    0.0625    1.8919	 1.9281	   4.1250
2.0000-4.5_UNJC	 2.0000	   1.7434    0.2222    1.8376	 1.9780	   4.2500
2.0000-8_UNJ	 2.0000	   1.8556    0.1250    1.9087	 1.9850	   4.2500
2.0000-12_UNJ	 2.0000	   1.9038    0.0833    1.9392	 1.9886	   4.2500
2.0000-16_UNJ	 2.0000	   1.9278    0.0625    1.9544	 1.9906	   4.2500
2.1250-8_UNJ	 2.1250	   1.9806    0.1250    2.0337	 2.1100	   4.5000
2.1250-12_UNJ	 2.1250	   2.0288    0.0833    2.0642	 2.1136	   4.5000
2.1250-16_UNJ	 2.1250	   2.0528    0.0625    2.0794	 2.1156	   4.5000
2.2500-4.5_UNJC	 2.2500	   1.9934    0.2222    2.0876	 2.2280	   4.7500
2.2500-8_UNJ	 2.2500	   2.1056    0.1250    2.1587	 2.2350	   4.7500
2.2500-12_UNJ	 2.2500	   2.1538    0.0833    2.1892	 2.2386	   4.7500
2.2500-16_UNJ	 2.2500	   2.1778    0.0625    2.2044	 2.2406	   4.7500
2.3750-8_UNJ	 2.3750	   2.2306    0.1250    2.2837	 2.3600	   5.0000
2.3750-12_UNJ	 2.3750	   2.2788    0.0833    2.3142	 2.3636	   5.0000
2.3750-16_UNJ	 2.3750	   2.3028    0.0625    2.3294	 2.3656	   5.0000
2.5000-4_UNJC	 2.5000	   2.2113    0.2500    2.3174	 2.4762	   5.2500
2.5000-8_UNJ	 2.5000	   2.3556    0.1250    2.4087	 2.4850	   5.2500
2.5000-12_UNJ	 2.5000	   2.4038    0.0833    2.4392	 2.4886	   5.2500
2.5000-16_UNJ	 2.5000	   2.4278    0.0625    2.4544	 2.4906	   5.2500
2.6250-8_UNJ	 2.6250	   2.4806    0.1250    2.5337	 2.6100	   5.5000
2.6250-12_UNJ	 2.6250	   2.5288    0.0833    2.5642	 2.6136	   5.5000
2.6250-16_UNJ	 2.6250	   2.5528    0.0625    2.5794	 2.6156	   5.5000
2.7500-4_UNJC	 2.7500	   2.4613    0.2500    2.5674	 2.7262	   5.7500
2.7500-8_UNJ	 2.7500	   2.6056    0.1250    2.6587	 2.7350	   5.7500
2.7500-12_UNJ	 2.7500	   2.6538    0.0833    2.6892	 2.7386	   5.7500
2.7500-16_UNJ	 2.7500	   2.6778    0.0625    2.7044	 2.7406	   5.7500
2.8750-8_UNJ	 2.8750	   2.7306    0.1250    2.7837	 2.8600	   6.0000
2.8750-12_UNJ	 2.8750	   2.7788    0.0833    2.8142	 2.8636	   6.0000
2.8750-16_UNJ	 2.8750	   2.8028    0.0625    2.8294	 2.8656	   6.0000
3.0000-4_UNJC	 3.0000	   2.7113    0.2500    2.8174	 2.9762	   6.2500
3.0000-8_UNJ	 3.0000	   2.8556    0.1250    2.9087	 2.9850	   6.2500
3.0000-12_UNJ	 3.0000	   2.9038    0.0833    2.9392	 2.9886	   6.2500
3.0000-16_UNJ	 3.0000	   2.9278    0.0625    2.9544	 2.9906	   6.2500
3.1250-8_UNJ	 3.1250	   2.9806    0.1250    3.0337	 3.1100	   6.5000
3.1250-12_UNJ	 3.1250	   3.0288    0.0833    3.0642	 3.1136	   6.5000
3.1250-16_UNJ	 3.1250	   3.0528    0.0625    3.0794	 3.1156	   6.5000
3.2500-4_UNJC	 3.2500	   2.9613    0.2500    3.0674	 3.2262	   6.7500
3.2500-8_UNJ	 3.2500	   3.1056    0.1250    3.1587	 3.2350	   6.7500
3.2500-12_UNJ	 3.2500	   3.1538    0.0833    3.1892	 3.2386	   6.7500
3.2500-16_UNJ	 3.2500	   3.1778    0.0625    3.2044	 3.2406	   6.7500
3.3750-8_UNJ	 3.3750	   3.2306    0.1250    3.2837	 3.3600	   7.0000
3.3750-12_UNJ	 3.3750	   3.2788    0.0833    3.3142	 3.3636	   7.0000
3.3750-16_UNJ	 3.3750	   3.3028    0.0625    3.3294	 3.3656	   7.0000
3.5000-4_UNJC	 3.5000	   3.2113    0.2500    3.3174	 3.4762	   7.2500
3.5000-8_UNJ	 3.5000	   3.3556    0.1250    3.4087	 3.4850	   7.2500
3.5000-12_UNJ	 3.5000	   3.4038    0.0833    3.4392	 3.4886	   7.2500
3.5000-16_UNJ	 3.5000	   3.4278    0.0625    3.4544	 3.4906	   7.2500
3.6250-8_UNJ	 3.6250	   3.4806    0.1250    3.5337	 3.6100	   7.5000
3.6250-12_UNJ	 3.6250	   3.5288    0.0833    3.5642	 3.6136	   7.5000
3.6250-16_UNJ	 3.6250	   3.5528    0.0625    3.5794	 3.6156	   7.5000
3.7500-4_UNJC	 3.7500	   3.4613    0.2500    3.5674	 3.7262	   7.7500
3.7500-8_UNJ	 3.7500	   3.6056    0.1250    3.6587	 3.7350	   7.7500
3.7500-12_UNJ	 3.7500	   3.6538    0.0833    3.6892	 3.7386	   7.7500
3.7500-16_UNJ	 3.7500	   3.6778    0.0625    3.7044	 3.7406	   7.7500
3.8750-8_UNJ	 3.8750	   3.7306    0.1250    3.7837	 3.8600	   8.0000
3.8750-12_UNJ	 3.8750	   3.7788    0.0833    3.8142	 3.8636	   8.0000
3.8750-16_UNJ	 3.8750	   3.8028    0.0625    3.8294	 3.8656	   8.0000
4.0000-4_UNJC	 4.0000	   3.7113    0.2500    3.8174	 3.9762	   8.2500
4.0000-8_UNJ	 4.0000	   3.8556    0.1250    3.9087	 3.9850	   8.2500
4.0000-12_UNJ	 4.0000	   3.9038    0.0833    3.9392	 3.9886	   8.2500
4.0000-16_UNJ	 4.0000	   3.9278    0.0625    3.9544	 3.9906	   8.2500
4.1250-12_UNJ	 4.1250	   4.0288    0.0833    4.0641	 4.1136	   8.5000
4.1250-16_UNJ	 4.1250	   4.0528    0.0625    4.0793	 4.1156	   8.5000
4.2500-12_UNJ	 4.2500	   4.1538    0.0833    4.1891	 4.2386	   8.7500
4.2500-16_UNJ	 4.2500	   4.1778    0.0625    4.2043	 4.2406	   8.7500
4.3750-12_UNJ	 4.3750	   4.2788    0.0833    4.3141	 4.3636	   9.0000
4.3750-16_UNJ	 4.3750	   4.3028    0.0625    4.3293	 4.3656	   9.0000
4.5000-12_UNJ	 4.5000	   4.4038    0.0833    4.4391	 4.4886	   9.2500
4.5000-16_UNJ	 4.5000	   4.4278    0.0625    4.4543	 4.4906	   9.2500
4.6250-12_UNJ	 4.6250	   4.5288    0.0833    4.5641	 4.6136	   9.5000
4.6250-16_UNJ	 4.6250	   4.5528    0.0625    4.5793	 4.6156	   9.5000
4.7500-12_UNJ	 4.7500	   4.6538    0.0833    4.6891	 4.7386	   9.7500
4.7500-16_UNJ	 4.7500	   4.6778    0.0625    4.7043	 4.7406	   9.7500
4.8750-12_UNJ	 4.8750	   4.7788    0.0833    4.8141	 4.8636	   10.000
4.8750-16_UNJ	 4.8750	   4.8028    0.0625    4.8293	 4.8656	   10.000
5.0000-12_UNJ	 5.0000	   4.9038    0.0833    4.9391	 4.9886	   10.250
5.0000-16_UNJ	 5.0000	   4.9278    0.0625    4.9543	 4.9906	   10.250
5.1250-12_UNJ	 5.1250	   5.0288    0.0833    5.0641	 5.1136	   10.500
